title;mediaType;eps;startYr;finishYr;sznOfRelease;description;studios;tags
Those Who Hunt Elves II;TV;12;1997;1997;Fall;With Celcia having botched the ritual to send our heroes, Junpei, Airi, and Ritsuko home to their own world (not in the least due to Junpei’s loud mouth…), the trio must once again set out to collect spell fragments tattoed on the bodies of unsuspecting female elves. With literally thousands of fragments to collect, they, along with their cat-spirited tank, encounter everything from Satan Santa to the legendary pillows that make your dreams come true…;['Group TAC'];Action,Adventure,Comedy,Fantasy,Elves,Isekai,Non-Human Protagonists,Person in a Strange World,Based on a Manga
Nobody's Boy Remi Movie;Movie;1;1980;1980;;"Eight-year-old Remi lives in a quiet village with his mother. His father, Jerome Barbarin, lives in Paris and provides the family with money to stay afloat; but soon they receive word that Jerome has been in a terrible accident and cannot support them further. After struggling through a tough winter, Remi and his mother are soon elated to see that their father has returned home - but he is not the man that he used to be. Cold and distant, Jerome soon secretly sells Remi to a traveling entertainer; and thus Remi's hardships begin. Moving from place to place, Remi experiences tragedy on a large scale. Friends come, go, and die; newfound families are torn apart; and otherwise Remi is abused, abandoned, and mistreated. Can Remi ever find his place in the world?";['TMS Entertainment'];Adventure,Drama,19th Century,Europe,Historical,Melancholy
Hikaru no Go: New Year Special;TV Special;1;2003;2003;;;['Studio Pierrot'];Shounen,Board Games,Ghosts,Recap,Supernatural,Tournaments,Based on a Manga
Peace Maker Kurogane;TV;24;2003;2004;Fall;Peace Maker Kurogane takes place in Kyoto in the late 19th century, during the height of the conflict between the Shinsengumi, a shogunal police force, and its enemy, an anti-government faction called the Choshu. This tale follows a young boy named Ichimura Tetsunosuke who is desperate to join the Shinsengumi and avenge his parents' deaths by the hands of the Choshu. But in the midst of the bloodshed, will he be strong enough to survive?;['GONZO'];Shounen,19th Century,Feudal Japan,Historical,Revenge,Samurai,Based on a Manga
One Piece: Defeat The Pirate Ganzak!;OVA;1;1998;1998;;"Pirate Luffy and his crew, Zoro and Nami, are aimlessly drifting along in the ocean; but soon their tranquillity is blown apart, literally, as a missile hits their boat. Amidst the commotion, a giant sea monster carries Nami away and Luffy and Zoro disappear below the waves. When the pair eventually washes up on a beach, they are about to be captured by two pirates - that is, until a young girl called Medaka intervenes! Luffy and Zoro are told of the Pirate Ganzak, a dastardly man who shattered the island's peace and enslaved its residents in the process. Spurred on by the promise of food, Luffy and Zoro decide to storm the tower where the pirates are based. But can the pair foil Ganzak's plot and free the people, even when it appears that Nami has betrayed them? And more importantly, will they score themselves a decent meal?";['Production I.G'];Action,Adventure,Fantasy,Shounen,Pirates,Superpowers,Based on a Manga
ef - a tale of melodies: Prologue;DVD Special;1;2008;2008;;;['Shaft'];Drama,Based on an Eroge,Based on a Visual Novel
Garo The Animation;TV;24;2014;2015;Fall;"Mendoza, the chief adviser of the king of Valiante, begins a campaign to hunt down ""witches,"" resulting in the deaths of many magical knights and their sorcerer assistants. Anna, a sorceress married to the knight Germán Luis, gives birth to a son before her execution. Germán takes their child, Leon, and flees, raising him to be the heir of the legendary Golden Armor. By the time Leon grows up, Valiante is completely in the control of Mendoza, who drives out Prince Alfonso and his mother. Alphonso decides to seek out the man who inherited the Golden Armor to reclaim the throne and save his people.";['Mappa'];Action,Adventure,Fantasy,Dark Fantasy,Demons,Magic,Medieval,Power Suits,Superheroes,Supernatural,Based on a TV Series
Didn't I Say to Make My Abilities Average in the Next Life?!;TV;12;2019;2019;Fall;"Kurihara Misato was a little more capable than other high school girls, and as a result, she was always alone and couldn't live her life the way she wanted. When she was reincarnated in another world after a tragic accident, she wanted a chance to make normal friends and live a normal life. So she asked God for one thing... ""Give me abilities that are average for that world!"" But the abilities God gave her were not ""average"" at all... And now this girl, who's been reborn in a world where magic is real, struggles to find simple, ordinary happiness!";['Project No. 9'];Adventure,Comedy,Fantasy,Shounen,Isekai,Magic,Nobility,Overpowered Main Characters,Person in a Strange World,Reincarnation,Based on a Light Novel
Love Hina Final Selection;TV Special;1;2001;2001;;;['XEBEC'];Comedy,Ecchi,Romance,Shounen,Recap,Tsundere,Based on a Manga
5-tou ni Naritai.;Movie;1;1995;1995;;;['Tama Production'];Drama,Slice of Life,Disability,School Life,Based on a Novel
Coo: Tooi Umi Kara Kita Coo;Movie;1;1993;1993;;After a storm hits their island, Yusuke finds a baby dinosaur. He show it to his dad, they keep it and call it Coo. But others are also interested in a 65 million year old creature...;['Toei Animation'];Adventure,Fantasy,Mystery,Slice of Life,Dinosaurs
Genbanojou;Movie;1;2017;2017;;"In a cone-shaped land named Kikyougahara in Shin Province, there lives a girl named Hana. She is a gentle girl, who always thinks of her family, in particular her great-grandmother Chiyo, whom she affectionately calls ""Granny."" One day, a traveling entertainment troupe named the Natsugawa Genzaemon Troupe happens by, and the villagers welcome them warmly. Upon finishing their performance and receiving their acclaim, the troupe's leader spots Hana with some ""oyaki,"" his favorite food, and transforms into a fox in his excitement. It turns out that the leader Genbanojou, and his companions O-Natsu and Shinzaemon, are all foxes who have taken on human forms. Genbanojou hastily negotiates with Hana, telling her that in exchange for keeping their secret, he will grant her one wish. She answers, ""I want to let my Granny see the cherry blossoms.""";['Nippon Animation'];Anime Tamago
Accel World OVA;OVA;2;2012;2013;;The Black Legion members are enjoying a rare opportunity to relax – that is, everyone except for Kuroyukihime. Lately the Black King has become more and more concerned with Haruyuki's unexpected aloofness, and what's worse, she and the gang soon discover that someone in the school network is assaulting students' online avatars and stealing their accessories. Can the Black Legion expose the troublemaker, and will Kuroyukihime be able to resolve her relationship with Haruyuki?;['Sunrise'];Action,Sci Fi,Virtual Reality,Based on a Light Novel
Jin Tian Kai Shi Zuo Ming Xing;Web;13;2019;2020;;;['ASK Animation'];Comedy,Drama,Chinese Animation,Crossdressing,Idols,Music,Showbiz,Based on a Manga
Mushibugyou;TV;26;2013;2013;Spring;Deadly giant bugs have begun to rampage through Edo Japan, and the Mushibugyou Protection Office must exterminate the threat. With the body count rising, the group requests aid from famed samurai Genjuurou Tsukishima, but due to an injury the man sends his inept-but-determined son Jinbei in his stead. Almost killed in his first encounter with the creatures, Jinbei is saved by his new colleagues of the Mushibugyou: fiery ninja Hibachi, violent warrior Koikawa, young onmyouji Ichinotani, and the enigmatic Mugai. Now, the group must learn to work together to overcome the many-legged menace!;['Seven Arcs Pictures'];Action,Shounen,Feudal Japan,Insects,Monsters,Samurai,Swordplay,Based on a Manga
Plastic Nee-san;Web;12;2011;2012;Spring;The story follows a third-year high school girl who likes building plastic models and the wacky conversations she has with her fellow club members.;['TYO Animations'];Comedy,Seinen,Gag,School Club,School Life,Short Episodes,Slapstick,Based on a Manga
Dantalian no Shoka: Ibarahime;OVA;1;2012;2012;;To recover a Phantom Book, Huey Anthony Disward and Dalian head to a remote village where people have been mysteriously disappearing.;['Gainax'];Action,Adventure,Mystery,Inheritance
Munto Movie: Tenjoubito to Akutobito Saigo no Tatakai;Movie;1;2009;2009;;Himemi has gone to the world of the Heavenloids with Munto, the Magical King, so she can save both his world and her own. Little does she know that the most difficult part won't be facing the dangerous Union, who want to crystalize her to harness her power, but facing her own heart and the secret that lies within.;['Kyoto Animation'];Action,Drama,Fantasy,Magic
Aikatsu Stars! The Movie;Movie;1;2016;2016;;In a southern island, a Legendary Dress Audition is taking place. Yume Nijino and the others must find secret dresses said to be hidden somewhere in the island.;['BN Pictures'];Idols,Island,Music,Showbiz,Based on a Card Game
Wo Shi Jiang Xiaobai 2nd Season;Web;12;2018;2019;;;['2:10 Animation'];Romance,Chinese Animation,CG Animation
Doraemon: Shin Nobita to Tetsujin Heidan - Habatake Tenshi-tachi;Movie;1;2011;2011;;In a distant galaxy, a robot society plans to invade Earth and take humans as their slaves. A robot named Riruru is sent ahead as a scout who will make the necessary arrangements for the invasion to occur. Luckily for human race, Nobita accidentally interrupts this reconaissance mission. Nobita and his friends will then need to somehow face an entire army of steel troops and stop the mechanized offensive.;['Shin-Ei Animation'];Sci Fi,Shounen,Cats,Family Friendly,Non-Human Protagonists,Robots,Based on a Manga
